['MachineID', 'RMSE', 'HiddenSize', 'Learningrate', 'L2Regulasation', 'ActivationFunction']
['cpu_1095481', 0.043 , 4, 0.015984149618070882, 0.0, <class 'pybrain.structure.modules.tanhlayer.TanhLayer'>]
['cpu_124596184', 0.043587348962474147, 4, 0.073506911011291337, 1.5043789324639934e-07, <class 'pybrain.structure.modules.tanhlayer.TanhLayer'>]
['cpu_1268205', 0.042064195212572875, 5, 0.05372581697602756, 0.0, <class 'pybrain.structure.modules.tanhlayer.TanhLayer'>]
['cpu_1269048', 0.047090498906122429, 7, 0.030811591304283119, 0.0, <class 'pybrain.structure.modules.tanhlayer.TanhLayer'>]
['cpu_1301871', 0.055946899263137284, 4, 0.22034409675536498, 0.0, <class 'pybrain.structure.modules.sigmoidlayer.SigmoidLayer'>]
['cpu_1303745', 0.074018252362899356, 5, 0.019519529514019029, 3.2624254542475326e-07, <class 'pybrain.structure.modules.tanhlayer.TanhLayer'>]
['cpu_1331706', 0.040598776866339184, 5, 0.012074721666766666, 0.0, <class 'pybrain.structure.modules.sigmoidlayer.SigmoidLayer'>]
['cpu_1335648', 0.095029562868266471, 5, 0.010941341530100339, 0.0, <class 'pybrain.structure.modules.tanhlayer.TanhLayer'>]
['cpu_1335782', 0.074184129052307896, 11, 0.02969868883884616, 0.0, <class 'pybrain.structure.modules.tanhlayer.TanhLayer'>]
['cpu_1338948', 0.081702383484048346, 6, 0.021115895102902987, 6.8793156008529141e-06, <class 'pybrain.structure.modules.tanhlayer.TanhLayer'>]
['cpu_1436348411', 0.093802133887545644, 6, 0.011088745502813831, 0.0, <class 'pybrain.structure.modules.tanhlayer.TanhLayer'>]
['cpu_1439356567', 0.036390172544075193, 5, 0.025837314540158755, 0.0, <class 'pybrain.structure.modules.tanhlayer.TanhLayer'>]
['cpu_1442486585', 0.078002204519388274, 4, 0.043863174757252515, 3.1654382736380547e-06, <class 'pybrain.structure.modules.sigmoidlayer.SigmoidLayer'>]
['cpu_155313295', 0.05452169075251339, 6, 1.8096442341415668, 8.1789534282514561e-06, <class 'pybrain.structure.modules.tanhlayer.TanhLayer'>]
['cpu_1664088958', 0.0777978792860229, 13, 0.019861527475330699, 2.9773495935752053e-07, <class 'pybrain.structure.modules.sigmoidlayer.SigmoidLayer'>]
['cpu_167553463', 0.07609450953928111, 6, 0.0091018266129779604, 0.0, <class 'pybrain.structure.modules.sigmoidlayer.SigmoidLayer'>]
['cpu_16915982', 0.10196370354201081, 4, 0.0081177300093147678, 0.0, <class 'pybrain.structure.modules.sigmoidlayer.SigmoidLayer'>]
['cpu_1695367', 0.061502985068972227, 4, 0.0071116957135727975, 0.0, <class 'pybrain.structure.modules.tanhlayer.TanhLayer'>]
['cpu_2055507446', 0.031631714517553401, 4, 0.04155037828897027, 0.0, <class 'pybrain.structure.modules.tanhlayer.TanhLayer'>]
['cpu_2055737168', 0.013374591615381877, 4, 0.0052805158158040653, 0.0, <class 'pybrain.structure.modules.tanhlayer.TanhLayer'>]
['cpu_227414872', 0.053213243080011893, 8, 0.056778320883081705, 1.9240265187318602e-06, <class 'pybrain.structure.modules.sigmoidlayer.SigmoidLayer'>]
